ABCD3	ATP binding cassette subfamily D member 3	5825
ABCD4	ATP binding cassette subfamily D member 4	5826
ABCE1	ATP binding cassette subfamily E member 1	6059
ABCF1	ATP binding cassette subfamily F member 1	23
ABCF1-DT	ABCF1 divergent transcript	107986587
ABCF2	ATP binding cassette subfamily F member 2	10061
ABCF2P1	ATP binding cassette subfamily F member 2 pseudogene 1	344653
ABCF2P2	ATP binding cassette subfamily F member 2 pseudogene 2	100422059
ABCF3	ATP binding cassette subfamily F member 3	55324
ABCG1	ATP binding cassette subfamily G member 1	9619
ABCG2	ATP binding cassette subfamily G member 2 (Junior blood group)	9429
ABCG4	ATP binding cassette subfamily G member 4	64137
ABCG5	ATP binding cassette subfamily G member 5	64240
ABCG8	ATP binding cassette subfamily G member 8	64241
ABHD1	abhydrolase domain containing 1	84696
ABHD2	abhydrolase domain containing 2	11057
ABHD3	abhydrolase domain containing 3	171586
ABHD4	abhydrolase domain containing 4	63874
ABHD5	abhydrolase domain containing 5	51099
ABHD6	abhydrolase domain containing 6	57406
ABHD8	abhydrolase domain containing 8	79575
ABHD10	abhydrolase domain containing 10	55347
ABHD11	abhydrolase domain containing 11	83451
ABHD11-AS1	ABHD11 antisense RNA 1 (tail to tail)	171022
ABHD11-AS2	entry withdrawn	
ABHD12	abhydrolase domain containing 12	26090
ABHD12B	abhydrolase domain containing 12B	145447
ABHD13	abhydrolase domain containing 13	84945
ABHD14A	abhydrolase domain containing 14A	25864
ABHD14A-ACY1	ABHD14A-ACY1 readthrough	100526760
ABHD14B	abhydrolase domain containing 14B	84836
ABHD15	abhydrolase domain containing 15	116236
ABHD15-AS1	ABHD15 antisense RNA 1	104355133
ABHD16A	abhydrolase domain containing 16A	7920
ABHD16B	abhydrolase domain containing 16B	140701
ABHD17A	abhydrolase domain containing 17A	81926
ABHD17AP1	abhydrolase domain containing 17A pseudogene 1	728917
ABHD17AP3	abhydrolase domain containing 17A pseudogene 3	648359
ABHD17AP4	abhydrolase domain containing 17A pseudogene P4	729495
ABHD17AP5	abhydrolase domain containing 17A pseudogene 5	91219
ABHD17AP6	abhydrolase domain containing 17A pseudogene 6	644988
ABHD17AP7	abhydrolase domain containing 17A pseudogene 7	100133212
ABHD17AP8	abhydrolase domain containing 17A pseudogene 8	647144
ABHD17AP9	abhydrolase domain containing 17A pseudogene 9	100132251
ABHD17B	abhydrolase domain containing 17B	51104
ABHD17C	abhydrolase domain containing 17C	58489
ABHD18	abhydrolase domain containing 18	80167
ABI1	abl interactor 1	10006
ABI1P1	abl interactor 1 pseudogene 1	326268
ABI2	abl interactor 2	10152
ABI3	ABI family member 3	51225
ABI3BP	ABI family member 3 binding protein	25890
ABITRAM	actin binding transcription modulator	54942
ABITRAMP1	ABITRAM pseudogene 1	390403
ABL1	ABL proto-oncogene 1, non-receptor tyrosine kinase	25
ABL2	ABL proto-oncogene 2, non-receptor tyrosine kinase	27
ABLIM1	actin binding LIM protein 1	3983
ABLIM2	actin binding LIM protein family member 2	84448
ABLIM3	actin binding LIM protein family member 3	22885
ABO	ABO, alpha 1-3-N-acetylgalactosaminyltransferase and alpha 1-3-galactosyltransferase	28
ABR	ABR activator of RhoGEF and GTPase	29
ABRA	actin binding Rho activating protein	137735
ABRACL	ABRA C-terminal like	58527
ABRAXAS1	abraxas 1, BRCA1 A complex subunit	84142
ABRAXAS2	abraxas 2, BRISC complex subunit	23172
ABT1	activator of basal transcription 1	29777
ABT1P1	activator of basal transcription 1 pseudogene 1	100420695
ABTB1	ankyrin repeat and BTB domain containing 1	80325
ABTB2	ankyrin repeat and BTB domain containing 2	25841
ACAA1	acetyl-CoA acyltransferase 1	30
ACAA2	acetyl-CoA acyltransferase 2	10449
ACACA	acetyl-CoA carboxylase alpha	31
ACACB	acetyl-CoA carboxylase beta	32
ACAD	entry withdrawn	
ACAD8	acyl-CoA dehydrogenase family member 8	27034
ACAD9	acyl-CoA dehydrogenase family member 9	28976
ACAD10	acyl-CoA dehydrogenase family member 10	80724
ACAD11	acyl-CoA dehydrogenase family member 11	84129
ACADL	acyl-CoA dehydrogenase long chain	33
ACADM	acyl-CoA dehydrogenase medium chain	34
ACADS	acyl-CoA dehydrogenase short chain	35
ACADSB	acyl-CoA dehydrogenase short/branched chain	36
ACADVL	acyl-CoA dehydrogenase very long chain	37
ACAN	aggrecan	176
ACAP1	ArfGAP with coiled-coil, ankyrin repeat and PH domains 1	9744
ACAP2	ArfGAP with coiled-coil, ankyrin repeat and PH domains 2	23527
ACAP2-IT1	ACAP2 intronic transcript 1	100874306
ACAP3	ArfGAP with coiled-coil, ankyrin repeat and PH domains 3	116983
ACAT1	acetyl-CoA acetyltransferase 1	38
ACAT2	acetyl-CoA acetyltransferase 2	39
ACBD3	acyl-CoA binding domain containing 3	64746
ACBD3-AS1	ACBD3 antisense RNA 1	107985353
ACBD4	acyl-CoA binding domain containing 4	79777
ACBD5	acyl-CoA binding domain containing 5	91452
ACBD6	acyl-CoA binding domain containing 6	84320
ACBD7	acyl-CoA binding domain containing 7	414149
ACCS	1-aminocyclopropane-1-carboxylate synthase homolog (inactive)	84680
ACCSL	1-aminocyclopropane-1-carboxylate synthase homolog (inactive) like	390110
ACD	ACD shelterin complex subunit and telomerase recruitment factor	65057
ACE	angiotensin I converting enzyme	1636
ACE2	angiotensin I converting enzyme 2	59272
ACE3P	angiotensin I converting enzyme 3, pseudogene	100129123
ACER1	alkaline ceramidase 1	125981
ACER2	alkaline ceramidase 2	340485
ACER3	alkaline ceramidase 3	55331
ACHE	acetylcholinesterase (Cartwright blood group)	43
ACIN1	apoptotic chromatin condensation inducer 1	22985
ACKR1	atypical chemokine receptor 1 (Duffy blood group)	2532
ACKR2	atypical chemokine receptor 2	1238
ACKR3	atypical chemokine receptor 3	57007
ACKR4	atypical chemokine receptor 4	51554
ACLS	acrocallosal syndrome	46
ACLY	ATP citrate lyase	47
ACMG	entry withdrawn	
ACMSD	aminocarboxymuconate semialdehyde decarboxylase	130013
ACNATP	acyl-CoA:amino acid N-acyltransferase pseudogene	347275
ACO1	aconitase 1	48
ACO2	aconitase 2	50
ACOD1	aconitate decarboxylase 1	730249
ACOT1	acyl-CoA thioesterase 1	641371
ACOT2	acyl-CoA thioesterase 2	10965
ACOT4	acyl-CoA thioesterase 4	122970
ACOT6	acyl-CoA thioesterase 6	641372
ACOT7	acyl-CoA thioesterase 7	11332
ACOT8	acyl-CoA thioesterase 8	10005
ACOT9	acyl-CoA thioesterase 9	23597
ACOT11	acyl-CoA thioesterase 11	26027
ACOT12	acyl-CoA thioesterase 12	134526
ACOT13	acyl-CoA thioesterase 13	55856
ACOX1	acyl-CoA oxidase 1	51
ACOX2	acyl-CoA oxidase 2	8309
ACOX3	acyl-CoA oxidase 3, pristanoyl	8310
ACOXL	acyl-CoA oxidase like	55289
ACOXL-AS1	ACOXL antisense RNA 1	400997
ACP1	acid phosphatase 1	52
ACP2	acid phosphatase 2, lysosomal	53
ACP4	acid phosphatase 4	93650
ACP5	acid phosphatase 5, tartrate resistant	54
ACP6	acid phosphatase 6, lysophosphatidic	51205
ACP7	acid phosphatase 7, tartrate resistant (putative)	390928
ACPP	acid phosphatase, prostate	55
ACR	acrosin	49
ACRBP	acrosin binding protein	84519
ACRV1	acrosomal vesicle protein 1	56
ACSBG1	acyl-CoA synthetase bubblegum family member 1	23205
ACSBG2	acyl-CoA synthetase bubblegum family member 2	81616
ACSF2	acyl-CoA synthetase family member 2	80221
ACSF3	acyl-CoA synthetase family member 3	197322
ACSL1	acyl-CoA synthetase long chain family member 1	2180
ACSL3	acyl-CoA synthetase long chain family member 3	2181
ACSL4	acyl-CoA synthetase long chain family member 4	2182
ACSL5	acyl-CoA synthetase long chain family member 5	51703
ACSL6	acyl-CoA synthetase long chain family member 6	23305
ACSM1	acyl-CoA synthetase medium chain family member 1	116285
ACSM2A	acyl-CoA synthetase medium chain family member 2A	123876
ACSM2B	acyl-CoA synthetase medium chain family member 2B	348158
ACSM3	acyl-CoA synthetase medium chain family member 3	6296
ACSM4	acyl-CoA synthetase medium chain family member 4	341392
ACSM5	acyl-CoA synthetase medium chain family member 5	54988
ACSM5P1	acyl-CoA synthetase medium chain family member 5 pseudogene 1	100421779
ACSM6	acyl-CoA synthetase medium chain family member 6	142827
ACSS1	acyl-CoA synthetase short chain family member 1	84532
ACSS2	acyl-CoA synthetase short chain family member 2	55902
ACSS3	acyl-CoA synthetase short chain family member 3	79611
ACTA1	actin alpha 1, skeletal muscle	58
ACTA2	actin alpha 2, smooth muscle	59
ACTA2-AS1	ACTA2 antisense RNA 1	100132116
ACTB	actin beta	60
ACTBL2	actin beta like 2	345651
ACTBP1	ACTB pseudogene 1	643309
ACTBP2	ACTB pseudogene 2	62
ACTBP3	ACTB pseudogene 3	63
ACTBP4	ACTB pseudogene 4	64
ACTBP5	entry withdrawn	
ACTBP6	ACTB pseudogene 6	66
ACTBP7	ACTB pseudogene 7	67
ACTBP8	ACTB pseudogene 8	68
ACTBP9	ACTB pseudogene 9	69
ACTBP10	ACTB pseudogene 10	446207
ACTBP11	ACTB pseudogene 11	644220
ACTBP12	ACTB pseudogene 12	100462767
ACTBP13	ACTB pseudogene 13	389120
ACTBP14	ACTB pseudogene 14	389976
ACTC1	actin alpha cardiac muscle 1	70
ACTG1	actin gamma 1	71
ACTG1P1	actin gamma 1 pseudogene 1	73
ACTG1P2	actin gamma 1 pseudogene 2	74
ACTG1P3	actin gamma 1 pseudogene 3	75
ACTG1P4	actin gamma 1 pseudogene 4	648740
ACTG1P6	actin gamma 1 pseudogene 6	78
ACTG1P7	actin gamma 1 pseudogene 7	79
ACTG1P8	actin gamma 1 pseudogene 8	80
ACTG1P9	actin gamma 1 pseudogene 9	82
ACTG1P10	actin gamma 1 pseudogene 10	83
ACTG1P11	actin gamma 1 pseudogene 11	414754
ACTG1P12	actin gamma 1 pseudogene 12	100418921
ACTG1P13	actin gamma 1 pseudogene 13	100418920
ACTG1P14	actin gamma 1 pseudogene 14	100418910
ACTG1P15	actin gamma 1 pseudogene 15	100418951
ACTG1P16	actin gamma 1 pseudogene 16	100418960
ACTG1P17	actin gamma 1 pseudogene 17	283693
ACTG1P18	actin gamma 1 pseudogene 18	100418924
ACTG1P19	actin gamma 1 pseudogene 19	644160
ACTG1P20	actin gamma 1 pseudogene 20	644961
ACTG1P21	actin gamma 1 pseudogene 21	100131291
ACTG1P22	actin gamma 1 pseudogene 22	100131953
ACTG1P23	actin gamma 1 pseudogene 23	442097
ACTG1P24	actin gamma 1 pseudogene 24	441783
ACTG2	actin gamma 2, smooth muscle	72
ACTL4	entry withdrawn	
ACTL5	entry withdrawn	
ACTL6A	actin like 6A	86
ACTL6B	actin like 6B	51412
ACTL7A	actin like 7A	10881
ACTL7B	actin like 7B	10880
ACTL8	actin like 8	81569
ACTL9	actin like 9	284382
ACTL10	actin like 10	170487
ACTN1	actinin alpha 1	87
ACTN1-AS1	ACTN1 antisense RNA 1	161159
ACTN2	actinin alpha 2	88
ACTN3	actinin alpha 3 (gene/pseudogene)	89
ACTN4	actinin alpha 4	81
ACTN4P1	actinin alpha 4 pseudogene 1	344978
ACTN4P2	actinin alpha 4 pseudogene 2	391026
ACTP1	actin family pseudogene 1	106480335
ACTR1A	actin related protein 1A	10121
ACTR1B	actin related protein 1B	10120
ACTR2	actin related protein 2	10097
ACTR3	actin related protein 3	10096
ACTR3-AS1	ACTR3 antisense RNA 1	101060091
ACTR3B	actin related protein 3B	57180
ACTR3BP1	ACTR3B pseudogene 1	643050
ACTR3BP2	ACTR3B pseudogene 2	440888
ACTR3BP3	ACTR3B pseudogene 3	647156
ACTR3BP4	ACTR3B pseudogene 4	777774
ACTR3BP5	ACTR3B pseudogene 5	399746
ACTR3BP6	ACTR3B pseudogene 6	644773
ACTR3C	actin related protein 3C	653857
ACTR3P1	ACTR3 pseudogene 1	100288580
ACTR3P2	ACTR3 pseudogene 2	100129013
ACTR3P3	ACTR3 pseudogene 3	100128020
ACTR5	actin related protein 5	79913
ACTR6	actin related protein 6	64431
ACTR6P1	ACTR6 pseudogene 1	100421495
ACTR8	actin related protein 8	93973
ACTR10	actin related protein 10	55860
ACTRT1	actin related protein T1	139741
ACTRT2	actin related protein T2	140625
ACTRT3	actin related protein T3	84517
ACVR1	activin A receptor type 1	90
ACVR1B	activin A receptor type 1B	91
ACVR1C	activin A receptor type 1C	130399
ACVR2A	activin A receptor type 2A	92
ACVR2B	activin A receptor type 2B	93
ACVR2B-AS1	ACVR2B antisense RNA 1	100128640
ACVRL1	activin A receptor like type 1	94
ACY1	aminoacylase 1	95
ACY3	aminoacylase 3	91703
ACYP1	acylphosphatase 1	97
ACYP2	acylphosphatase 2	98
AD5	Alzheimer disease 5	8081
ADA	adenosine deaminase	100
ADA2	adenosine deaminase 2	51816
ADAD1	adenosine deaminase domain containing 1	132612
ADAD1P1	adenosine deaminase domain containing 1 pseudogene 1	100422386
ADAD1P2	adenosine deaminase domain containing 1 pseudogene 2	100422407
ADAD2	adenosine deaminase domain containing 2	161931
ADAL	adenosine deaminase like	161823
ADAM1A	ADAM metallopeptidase domain 1A (pseudogene)	8759
ADAM1B	ADAM metallopeptidase domain 1B (pseudogene)	100420505
ADAM2	ADAM metallopeptidase domain 2	2515
ADAM3A	ADAM metallopeptidase domain 3A (pseudogene)	1587
ADAM3B	ADAM metallopeptidase domain 3B (pseudogene)	1596
ADAM5	ADAM metallopeptidase domain 5 (pseudogene)	255926
ADAM6	ADAM metallopeptidase domain 6 (pseudogene)	8755
ADAM7	ADAM metallopeptidase domain 7	8756
ADAM8	ADAM metallopeptidase domain 8	101
ADAM9	ADAM metallopeptidase domain 9	8754
ADAM10	ADAM metallopeptidase domain 10	102
ADAM11	ADAM metallopeptidase domain 11	4185
ADAM12	ADAM metallopeptidase domain 12	8038
ADAM12-OT1	entry withdrawn	
ADAM15	ADAM metallopeptidase domain 15	8751
ADAM17	ADAM metallopeptidase domain 17	6868
ADAM18	ADAM metallopeptidase domain 18	8749
ADAM19	ADAM metallopeptidase domain 19	8728
ADAM20	ADAM metallopeptidase domain 20	8748
ADAM20P1	ADAM metallopeptidase domain 20 pseudogene 1	317760
ADAM20P2	ADAM metallopeptidase domain 20 pseudogene 2	100533671
ADAM20P3	ADAM metallopeptidase domain 20 pseudogene 3	644325
ADAM21	ADAM metallopeptidase domain 21	8747
ADAM21P1	ADAM metallopeptidase domain 21 pseudogene 1	145241
ADAM22	ADAM metallopeptidase domain 22	53616
ADAM23	ADAM metallopeptidase domain 23	8745
ADAM24P	ADAM metallopeptidase domain 24, pseudogene	646479
ADAM28	ADAM metallopeptidase domain 28	10863
ADAM29	ADAM metallopeptidase domain 29	11086
ADAM30	ADAM metallopeptidase domain 30	11085
ADAM32	ADAM metallopeptidase domain 32	203102
ADAM33	ADAM metallopeptidase domain 33	80332
ADAMDEC1	ADAM like decysin 1	27299
ADAMTS1	ADAM metallopeptidase with thrombospondin type 1 motif 1	9510
ADAMTS2	ADAM metallopeptidase with thrombospondin type 1 motif 2	9509
ADAMTS3	ADAM metallopeptidase with thrombospondin type 1 motif 3	9508
ADAMTS4	ADAM metallopeptidase with thrombospondin type 1 motif 4	9507
ADAMTS5	ADAM metallopeptidase with thrombospondin type 1 motif 5	11096
ADAMTS6	ADAM metallopeptidase with thrombospondin type 1 motif 6	11174
ADAMTS7	ADAM metallopeptidase with thrombospondin type 1 motif 7	11173
ADAMTS7P1	ADAMTS7 pseudogene 1	390660
ADAMTS7P3	ADAMTS7 pseudogene 3	400406
ADAMTS7P4	ADAMTS7 pseudogene 4	642935
ADAMTS8	ADAM metallopeptidase with thrombospondin type 1 motif 8	11095
ADAMTS9	ADAM metallopeptidase with thrombospondin type 1 motif 9	56999
ADAMTS9-AS1	ADAMTS9 antisense RNA 1	101929335
ADAMTS9-AS2	ADAMTS9 antisense RNA 2	100507098
ADAMTS10	ADAM metallopeptidase with thrombospondin type 1 motif 10	81794
ADAMTS12	ADAM metallopeptidase with thrombospondin type 1 motif 12	81792
ADAMTS13	ADAM metallopeptidase with thrombospondin type 1 motif 13	11093
ADAMTS14	ADAM metallopeptidase with thrombospondin type 1 motif 14	140766
ADAMTS15	ADAM metallopeptidase with thrombospondin type 1 motif 15	170689
ADAMTS16	ADAM metallopeptidase with thrombospondin type 1 motif 16	170690
ADAMTS17	ADAM metallopeptidase with thrombospondin type 1 motif 17	170691
ADAMTS18	ADAM metallopeptidase with thrombospondin type 1 motif 18	170692
ADAMTS19	ADAM metallopeptidase with thrombospondin type 1 motif 19	171019
ADAMTS19-AS1	ADAMTS19 antisense RNA 1	103689846
ADAMTS20	ADAM metallopeptidase with thrombospondin type 1 motif 20	80070
ADAMTSL1	ADAMTS like 1	92949
ADAMTSL2	ADAMTS like 2	9719
ADAMTSL3	ADAMTS like 3	57188
ADAMTSL4	ADAMTS like 4	54507
ADAMTSL4-AS1	ADAMTSL4 antisense RNA 1	574406
ADAMTSL5	ADAMTS like 5	339366
ADAP1	ArfGAP with dual PH domains 1	11033
ADAP2	ArfGAP with dual PH domains 2	55803
ADAR	adenosine deaminase RNA specific	103
ADARB1	adenosine deaminase RNA specific B1	104
ADARB2	adenosine deaminase RNA specific B2 (inactive)	105
ADARB2-AS1	ADARB2 antisense RNA 1	642394
ADAT1	adenosine deaminase tRNA specific 1	23536
ADAT2	adenosine deaminase tRNA specific 2	134637
ADAT3	adenosine deaminase tRNA specific 3	113179
ADCK1	aarF domain containing kinase 1	57143
ADCK2	aarF domain containing kinase 2	90956
ADCK5	aarF domain containing kinase 5	203054
ADCP1	adenosine deaminase complexing protein 1	106
ADCY1	adenylate cyclase 1	107
ADCY2	adenylate cyclase 2	108
ADCY3	adenylate cyclase 3	109
ADCY4	adenylate cyclase 4	196883
ADCY5	adenylate cyclase 5	111
ADCY6	adenylate cyclase 6	112
ADCY7	adenylate cyclase 7	113
ADCY8	adenylate cyclase 8	114
ADCY9	adenylate cyclase 9	115
ADCY10	adenylate cyclase 10	55811
ADCY10P1	ADCY10 pseudogene 1	221442
ADCYAP1	adenylate cyclase activating polypeptide 1	116
ADCYAP1R1	ADCYAP receptor type I	117
ADD1	adducin 1	118
ADD2	adducin 2	119
ADD3	adducin 3	120
ADD3-AS1	ADD3 antisense RNA 1	100505933
ADFN	albinism-deafness syndrome	122
ADGB	androglobin	79747
ADGRA1	adhesion G protein-coupled receptor A1	84435
ADGRA1-AS1	adhesion G protein-coupled receptor A1 antisense RNA 1	100128127
ADGRA2	adhesion G protein-coupled receptor A2	25960
ADGRA3	adhesion G protein-coupled receptor A3	166647
ADGRB1	adhesion G protein-coupled receptor B1	575
ADGRB2	adhesion G protein-coupled receptor B2	576
ADGRB3	adhesion G protein-coupled receptor B3	577
ADGRD1	adhesion G protein-coupled receptor D1	283383
ADGRD1-AS1	ADGRD1 antisense RNA 1	105755954
ADGRD2	adhesion G protein-coupled receptor D2	347088
ADGRE1	adhesion G protein-coupled receptor E1	2015
ADGRE2	adhesion G protein-coupled receptor E2	30817
ADGRE3	adhesion G protein-coupled receptor E3	84658
ADGRE4P	adhesion G protein-coupled receptor E4, pseudogene	326342
ADGRE5	adhesion G protein-coupled receptor E5	976
ADGRF1	adhesion G protein-coupled receptor F1	266977
ADGRF2	adhesion G protein-coupled receptor F2	222611
ADGRF3	adhesion G protein-coupled receptor F3	165082
ADGRF4	adhesion G protein-coupled receptor F4	221393
ADGRF5	adhesion G protein-coupled receptor F5	221395
ADGRF5P1	adhesion G protein-coupled receptor F5 pseudogene 1	389740
ADGRF5P2	adhesion G protein-coupled receptor F5 pseudogene 2	441416
ADGRG1	adhesion G protein-coupled receptor G1	9289
ADGRG2	adhesion G protein-coupled receptor G2	10149
ADGRG3	adhesion G protein-coupled receptor G3	222487
ADGRG4	adhesion G protein-coupled receptor G4	139378
ADGRG5	adhesion G protein-coupled receptor G5	221188
ADGRG6	adhesion G protein-coupled receptor G6	57211
ADGRG7	adhesion G protein-coupled receptor G7	84873
ADGRL1	adhesion G protein-coupled receptor L1	22859
ADGRL2	adhesion G protein-coupled receptor L2	23266
ADGRL3	adhesion G protein-coupled receptor L3	23284
ADGRL3-AS1	adhesion G protein-coupled receptor L3 antisense RNA 1	101927186
ADGRL4	adhesion G protein-coupled receptor L4	64123
ADGRV1	adhesion G protein-coupled receptor V1	84059
ADH1A	alcohol dehydrogenase 1A (class I), alpha polypeptide	124
ADH1B	alcohol dehydrogenase 1B (class I), beta polypeptide	125
ADH1C	alcohol dehydrogenase 1C (class I), gamma polypeptide	126
ADH4	alcohol dehydrogenase 4 (class II), pi polypeptide	127
ADH5	alcohol dehydrogenase 5 (class III), chi polypeptide	128
ADH5P1	entry withdrawn	
ADH5P2	ADH5 pseudogene 2	343296
ADH5P3	ADH5 pseudogene 3	100131810
ADH5P4	ADH5 pseudogene 4	642443
ADH6	alcohol dehydrogenase 6 (class V)	130
ADH7	alcohol dehydrogenase 7 (class IV), mu or sigma polypeptide	131
ADHFE1	alcohol dehydrogenase iron containing 1	137872
ADI1	acireductone dioxygenase 1	55256
ADI1P1	acireductone dioxygenase 1 pseudogene 1	100130936
ADI1P2	acireductone dioxygenase 1 pseudogene 2	100288971
ADI1P3	acireductone dioxygenase 1 pseudogene 3	100288129
ADIG	adipogenin	149685
ADIPOQ	adiponectin, C1Q and collagen domain containing	9370
ADIPOQ-AS1	ADIPOQ antisense RNA 1	100874095
ADIPOR1	adiponectin receptor 1	51094
ADIPOR1P1	adiponectin receptor 1 pseudogene 1	645220
ADIPOR1P2	adiponectin receptor 1 pseudogene 2	390503
ADIPOR2	adiponectin receptor 2	79602
ADIRF	adipogenesis regulatory factor	10974
ADIRF-AS1	ADIRF antisense RNA 1	100133190
ADK	adenosine kinase	132
ADM	adrenomedullin	133
ADM2	adrenomedullin 2	79924
ADM5	adrenomedullin 5 (putative)	199800
ADNP	activity dependent neuroprotector homeobox	23394
ADNP-AS1	ADNP antisense RNA 1	101927631
ADNP2	ADNP homeobox 2	22850
ADO	2-aminoethanethiol dioxygenase	84890
ADORA1	adenosine A1 receptor	134
ADORA2A	adenosine A2a receptor	135
ADORA2A-AS1	ADORA2A antisense RNA 1	646023
ADORA2B	adenosine A2b receptor	136
ADORA2BP1	adenosine A2b receptor pseudogene 1	137
ADORA2L1	entry withdrawn	
ADORA2L2	entry withdrawn	
ADORA3	adenosine A3 receptor	140
ADPGK	ADP dependent glucokinase	83440
ADPGK-AS1	ADPGK antisense RNA 1	100287559
ADPRH	ADP-ribosylarginine hydrolase	141
ADPRHL1	ADP-ribosylhydrolase like 1	113622
ADPRHL2	ADP-ribosylhydrolase like 2	54936
ADPRM	ADP-ribose/CDP-alcohol diphosphatase, manganese dependent	56985
