# Expression Atlas
# Query: Genes matching: 'default query', specifically up/down differentially expressed in 10 comparisons  given the adjusted p-value cutoff 1 and log2-fold change cutoff 0 in experiment E-MTAB-5157
# Timestamp: Thu, 30-May-2019 20:40:45
Gene ID	Gene Name	'biomass' vs 'control' at '1 hour' .foldChange	'biomass' vs 'control' at '1 hour'.pValue	'biomass' vs 'control' at '16 hour' .foldChange	'biomass' vs 'control' at '16 hour'.pValue	'biomass' vs 'control' at '20 hour' .foldChange	'biomass' vs 'control' at '20 hour'.pValue	'biomass' vs 'control' at '4 hour' .foldChange	'biomass' vs 'control' at '4 hour'.pValue	'biomass' vs 'control' at '8 hour' .foldChange	'biomass' vs 'control' at '8 hour'.pValue	'diesel' vs 'control' at '1 hour' .foldChange	'diesel' vs 'control' at '1 hour'.pValue	'diesel' vs 'control' at '16 hour' .foldChange	'diesel' vs 'control' at '16 hour'.pValue	'diesel' vs 'control' at '20 hour' .foldChange	'diesel' vs 'control' at '20 hour'.pValue	'diesel' vs 'control' at '4 hour' .foldChange	'diesel' vs 'control' at '4 hour'.pValue	'diesel' vs 'control' at '8 hour' .foldChange	'diesel' vs 'control' at '8 hour'.pValue
ENSG00000004766	VPS50	0.1	0.999973754074131	0.1	0.999516510215591			-0.1	0.996465604932035	0.1	0.999988430414761	0.1	0.999963861920391			-0.1	0.999993864973088	0.1	0.99993743598835	0.1	0.999991842764457
ENSG00000004777	ARHGAP33			-0.1	0.999516510215591	-0.1	0.999975865166861	0.3	0.996465604932035												
ENSG00000004779	NDUFAB1	-0.2	0.999973754074131	-0.4	0.999516510215591	-0.1	0.999975865166861	0.2	0.996465604932035	-0.2	0.999988430414761	-0.1	0.999963861920391			0.1	0.999993864973088			0.1	0.999991842764457
ENSG00000004799	PDK4							0.1	0.996465604932035												
ENSG00000004838	ZMYND10			-0.1	0.999516510215591	-0.1	0.999975865166861	0.1	0.996465604932035					-0.1	0.999999971785988						
ENSG00000004864	SLC25A13	0.1	0.999973754074131	-0.1	0.999516510215591	0.1	0.999975865166861	-0.1	0.996465604932035					-0.1	0.999999971785988					-0.1	0.999991842764457
ENSG00000004866	ST7	0.1	0.999973754074131			0.2	0.999975865166861	-0.3	0.996465604932035			-0.1	0.999963861920391	-0.1	0.999999971785988			-0.1	0.99993743598835		
ENSG00000004897	CDC27	0.1	0.999973754074131	0.1	0.999516510215591	0.1	0.999975865166861	-0.2	0.996465604932035	0.1	0.999988430414761	0.1	0.999963861920391							-0.1	0.999991842764457
ENSG00000004961	HCCS	-0.1	0.999973754074131	-0.1	0.999516510215591	-0.1	0.999975865166861	0.1	0.996465604932035					-0.1	0.999999971785988			0.1	0.99993743598835	0.1	0.999991842764457
ENSG00000004975	DVL2	-0.2	0.999973754074131	-0.2	0.999516510215591	-0.1	0.999975865166861	0.2	0.996465604932035	-0.1	0.999988430414761			-0.1	0.999999971785988	0.1	0.999993864973088				
ENSG00000005001	PRSS22	0.1	0.999973754074131					0.2	0.996465604932035					0.1	0.999999971785988	0.2	0.999993864973088	0.1	0.99993743598835	0.1	0.999991842764457
ENSG00000005007	UPF1	-0.1	0.999973754074131	-0.2	0.999516510215591	-0.1	0.999975865166861	0.3	0.996465604932035	-0.1	0.999988430414761			0.1	0.999999971785988	0.2	0.999993864973088	-0.1	0.99993743598835	0.1	0.999991842764457
ENSG00000005020	SKAP2	0.1	0.999973754074131	0.1	0.999516510215591											-0.1	0.999993864973088	0.2	0.99993743598835	-0.1	0.999991842764457
ENSG00000005022	SLC25A5			-0.1	0.999516510215591			0.1	0.996465604932035			-0.1	0.999963861920391			0.1	0.999993864973088			0.1	0.999991842764457
ENSG00000005059	MCUB			-0.1	0.999516510215591			-0.1	0.996465604932035	-0.1	0.999988430414761					-0.1	0.999993864973088			-0.1	0.999991842764457
ENSG00000005075	POLR2J			-0.1	0.999516510215591			0.2	0.996465604932035	-0.1	0.999988430414761			-0.1	0.999999971785988	0.2	0.999993864973088				
ENSG00000005100	DHX33					-0.1	0.999975865166861	-0.1	0.996465604932035			-0.1	0.999963861920391					-0.1	0.99993743598835		
ENSG00000005156	LIG3			0.1	0.999516510215591							-0.1	0.999963861920391	0.1	0.999999971785988	0.2	0.999993864973088			-0.1	0.999991842764457
ENSG00000005175	RPAP3	0.1	0.999973754074131	0.1	0.999516510215591	0.1	0.999975865166861	-0.2	0.996465604932035	0.2	0.999988430414761			0.1	0.999999971785988	-0.1	0.999993864973088				
ENSG00000005187	ACSM3	-0.1	0.999973754074131	0.1	0.999516510215591									0.1	0.999999971785988						
ENSG00000005189	REXO5	0.1	0.999973754074131													-0.1	0.999993864973088	0.1	0.99993743598835	0.1	0.999991842764457
ENSG00000005194	CIAPIN1			0.1	0.999516510215591	0.1	0.999975865166861	0.1	0.996465604932035			-0.1	0.999963861920391	0.1	0.999999971785988					-0.1	0.999991842764457
ENSG00000005206	SPPL2B	-0.1	0.999973754074131	-0.2	0.999516510215591	-0.1	0.999975865166861	0.2	0.996465604932035	-0.2	0.999988430414761					0.1	0.999993864973088	-0.1	0.99993743598835		
ENSG00000005238	FAM214B							-0.1	0.996465604932035							0.1	0.999993864973088				
ENSG00000005243	COPZ2	-0.1	0.999973754074131	0.1	0.999516510215591	0.1	0.999975865166861			0.1	0.999988430414761					0.1	0.999993864973088			0.1	0.999991842764457
ENSG00000005249	PRKAR2B			-0.2	0.999516510215591	0.1	0.999975865166861							-0.1	0.999999971785988			0.1	0.99993743598835		
ENSG00000005302	MSL3					-0.1	0.999975865166861	-0.2	0.996465604932035	0.1	0.999988430414761										
ENSG00000005339	CREBBP	-0.1	0.999973754074131					-0.1	0.996465604932035	-0.1	0.999988430414761	-0.1	0.999963861920391					-0.1	0.99993743598835		
ENSG00000005379	TSPOAP1			0.1	0.999516510215591									0.1	0.999999971785988						
ENSG00000005436	GCFC2			0.2	0.999516510215591			-0.3	0.996465604932035												
ENSG00000005448	WDR54	-0.1	0.999973754074131					0.1	0.996465604932035			-0.1	0.999963861920391					-0.1	0.99993743598835		
ENSG00000005469	CROT	0.1	0.999973754074131	0.1	0.999516510215591	0.1	0.999975865166861	0.1	0.996465604932035	0.1	0.999988430414761					-0.2	0.999993864973088	0.1	0.99993743598835	-0.1	0.999991842764457
ENSG00000005483	KMT2E	0.1	0.999973754074131	0.2	0.999516510215591			-0.1	0.996465604932035	0.1	0.999988430414761	0.1	0.999963861920391			-0.1	0.999993864973088			-0.2	0.999991842764457
ENSG00000005486	RHBDD2			-0.1	0.999516510215591	-0.1	0.999975865166861	0.3	0.996465604932035	-0.1	0.999988430414761					0.1	0.999993864973088			0.1	0.999991842764457
ENSG00000005700	IBTK	0.1	0.999973754074131	0.2	0.999516510215591	0.1	0.999975865166861	-0.2	0.996465604932035			0.1	0.999963861920391	0.1	0.999999971785988			0.1	0.99993743598835	-0.1	0.999991842764457
ENSG00000005801	ZNF195	0.3	0.999973754074131	0.3	0.999516510215591	0.1	0.999975865166861	0.1	0.996465604932035	0.1	0.999988430414761	0.2	0.999963861920391	0.1	0.999999971785988	0.1	0.999993864973088	0.1	0.99993743598835	-0.1	0.999991842764457
ENSG00000005810	MYCBP2	0.1	0.999973754074131	0.1	0.999516510215591			-0.1	0.996465604932035					-0.1	0.999999971785988					-0.1	0.999991842764457
ENSG00000005812	FBXL3			0.1	0.999516510215591			-0.2	0.996465604932035							-0.2	0.999993864973088			-0.1	0.999991842764457
ENSG00000005882	PDK2	0.1	0.999973754074131	-0.1	0.999516510215591			0.1	0.996465604932035	0.1	0.999988430414761			-0.1	0.999999971785988			-0.2	0.99993743598835	0.1	0.999991842764457
ENSG00000005884	ITGA3			-0.1	0.999516510215591			0.1	0.996465604932035	-0.1	0.999988430414761					0.1	0.999993864973088	-0.2	0.99993743598835		
ENSG00000005889	ZFX	0.1	0.999973754074131	0.2	0.999516510215591			-0.2	0.996465604932035					0.1	0.999999971785988						
ENSG00000005893	LAMP2	0.1	0.999973754074131	0.1	0.999516510215591	0.1	0.999975865166861	-0.2	0.996465604932035					-0.1	0.999999971785988	-0.1	0.999993864973088			-0.1	0.999991842764457
ENSG00000005961	ITGA2B	-0.1	0.999973754074131	-0.1	0.999516510215591	0.1	0.999975865166861														
ENSG00000006007	GDE1	-0.1	0.999973754074131	-0.1	0.999516510215591			-0.1	0.996465604932035	0.1	0.999988430414761										
ENSG00000006015	REX1BD			-0.4	0.999516510215591	-0.1	0.999975865166861	0.2	0.996465604932035					-0.1	0.999999971785988	0.1	0.999993864973088			0.1	0.999991842764457
ENSG00000006016	CRLF1							0.2	0.996465604932035					0.1	0.999999971785988					0.1	0.999991842764457
ENSG00000006025	AC003665.1	0.1	0.999973754074131			-0.1	0.999975865166861	0.2	0.996465604932035	-0.1	0.999988430414761	0.1	0.999963861920391	0.1	0.999999971785988			-0.1	0.99993743598835	0.1	0.999991842764457
ENSG00000006042	TMEM98			-0.1	0.999516510215591			0.1	0.996465604932035	0.1	0.999988430414761			-0.1	0.999999971785988	-0.1	0.999993864973088			0.1	0.999991842764457
ENSG00000006047	YBX2			0.2	0.999516510215591	-0.1	0.999975865166861	0.1	0.996465604932035					0.1	0.999999971785988	0.1	0.999993864973088			0.1	0.999991842764457
ENSG00000006062	MAP3K14	-0.1	0.999973754074131	-0.1	0.999516510215591			0.1	0.996465604932035							0.1	0.999993864973088	-0.1	0.99993743598835		
ENSG00000006118	TMEM132A			-0.3	0.999516510215591	-0.2	0.999975865166861	0.1	0.996465604932035	-0.1	0.999988430414761					0.1	0.999993864973088	-0.1	0.99993743598835	0.1	0.999991842764457
ENSG00000006125	AP2B1			0.1	0.999516510215591	0.1	0.999975865166861	-0.1	0.996465604932035			-0.1	0.999963861920391							-0.1	0.999991842764457
ENSG00000006194	ZNF263					-0.1	0.999975865166861					0.1	0.999963861920391					-0.1	0.99993743598835		
ENSG00000006210	CX3CL1			0.2	0.999516510215591													-0.1	0.99993743598835		
ENSG00000006282	SPATA20			-0.1	0.999516510215591			0.1	0.996465604932035					0.1	0.999999971785988	0.1	0.999993864973088	-0.1	0.99993743598835	0.1	0.999991842764457
ENSG00000006327	TNFRSF12A	-0.2	0.999973754074131	-0.3	0.999516510215591	-0.2	0.999975865166861	0.2	0.996465604932035	-0.2	0.999988430414761	-0.1	0.999963861920391			0.1	0.999993864973088			0.2	0.999991842764457
ENSG00000006432	MAP3K9	-0.1	0.999973754074131	0.1	0.999516510215591	0.2	0.999975865166861	-0.1	0.996465604932035							0.2	0.999993864973088	-0.1	0.99993743598835		
ENSG00000006451	RALA							-0.1	0.996465604932035					-0.1	0.999999971785988	-0.1	0.999993864973088	0.1	0.99993743598835	-0.1	0.999991842764457
ENSG00000006453	BAIAP2L1			-0.1	0.999516510215591			-0.1	0.996465604932035	0.1	0.999988430414761			-0.1	0.999999971785988	-0.2	0.999993864973088	-0.1	0.99993743598835	-0.1	0.999991842764457
ENSG00000006459	KDM7A	0.1	0.999973754074131	0.2	0.999516510215591			-0.1	0.996465604932035	0.1	0.999988430414761	0.1	0.999963861920391	0.1	0.999999971785988			0.1	0.99993743598835		
ENSG00000006468	ETV1			0.3	0.999516510215591	0.1	0.999975865166861			0.1	0.999988430414761	0.1	0.999963861920391	0.2	0.999999971785988	0.1	0.999993864973088	0.1	0.99993743598835		
ENSG00000006530	AGK					0.1	0.999975865166861					-0.1	0.999963861920391	-0.1	0.999999971785988			0.1	0.99993743598835		
ENSG00000006534	ALDH3B1			-0.2	0.999516510215591	-0.2	0.999975865166861	0.2	0.996465604932035	-0.1	0.999988430414761			-0.1	0.999999971785988	0.1	0.999993864973088	-0.1	0.99993743598835		
ENSG00000006555	TTC22			-0.2	0.999516510215591			-0.1	0.996465604932035			-0.1	0.999963861920391	-0.1	0.999999971785988	0.1	0.999993864973088	-0.3	0.99993743598835	0.2	0.999991842764457
ENSG00000006576	PHTF2	0.2	0.999973754074131	0.2	0.999516510215591			-0.1	0.996465604932035	0.1	0.999988430414761	0.1	0.999963861920391			-0.1	0.999993864973088				
ENSG00000006607	FARP2	0.1	0.999973754074131	-0.1	0.999516510215591	0.1	0.999975865166861			-0.1	0.999988430414761			-0.1	0.999999971785988	0.1	0.999993864973088			-0.1	0.999991842764457
ENSG00000006625	GGCT					-0.1	0.999975865166861	-0.1	0.996465604932035							-0.2	0.999993864973088	0.1	0.99993743598835		
ENSG00000006634	DBF4	0.1	0.999973754074131	0.3	0.999516510215591	0.1	0.999975865166861	-0.1	0.996465604932035					0.2	0.999999971785988	-0.1	0.999993864973088	0.1	0.99993743598835	-0.1	0.999991842764457
ENSG00000006638	TBXA2R			-0.1	0.999516510215591																
ENSG00000006652	IFRD1																	0.2	0.99993743598835		
ENSG00000006695	COX10	-0.2	0.999973754074131			0.1	0.999975865166861	-0.1	0.996465604932035	-0.2	0.999988430414761	-0.1	0.999963861920391			0.1	0.999993864973088				
ENSG00000006704	GTF2IRD1			-0.1	0.999516510215591	-0.2	0.999975865166861	0.2	0.996465604932035	-0.1	0.999988430414761					0.1	0.999993864973088	-0.1	0.99993743598835		
ENSG00000006712	PAF1	-0.1	0.999973754074131	-0.1	0.999516510215591			0.1	0.996465604932035	-0.1	0.999988430414761	-0.1	0.999963861920391			0.1	0.999993864973088	-0.1	0.99993743598835	0.1	0.999991842764457
ENSG00000006715	VPS41	-0.1	0.999973754074131	0.1	0.999516510215591	0.1	0.999975865166861	-0.1	0.996465604932035					-0.1	0.999999971785988			0.1	0.99993743598835	-0.1	0.999991842764457
ENSG00000006740	ARHGAP44			0.1	0.999516510215591	-0.1	0.999975865166861	0.1	0.996465604932035					0.2	0.999999971785988			0.1	0.99993743598835		
ENSG00000006744	ELAC2			-0.1	0.999516510215591			0.2	0.996465604932035			-0.1	0.999963861920391			0.1	0.999993864973088	-0.1	0.99993743598835	0.1	0.999991842764457
ENSG00000006747	SCIN							0.3	0.996465604932035							-0.1	0.999993864973088	0.3	0.99993743598835		
ENSG00000006756	ARSD			0.1	0.999516510215591	-0.1	0.999975865166861	-0.1	0.996465604932035							-0.1	0.999993864973088			0.1	0.999991842764457
ENSG00000006757	PNPLA4			-0.1	0.999516510215591			0.2	0.996465604932035			-0.1	0.999963861920391			0.1	0.999993864973088	0.1	0.99993743598835	0.1	0.999991842764457
ENSG00000006831	ADIPOR2							-0.1	0.996465604932035											-0.1	0.999991842764457
ENSG00000006837	CDKL3	0.1	0.999973754074131	0.1	0.999516510215591	0.1	0.999975865166861	-0.1	0.996465604932035							0.1	0.999993864973088	0.1	0.99993743598835		
ENSG00000007038	PRSS21			-0.1	0.999516510215591	-0.1	0.999975865166861	0.1	0.996465604932035							0.1	0.999993864973088				
ENSG00000007047	MARK4	-0.2	0.999973754074131	-0.3	0.999516510215591					-0.2	0.999988430414761	-0.1	0.999963861920391			0.2	0.999993864973088	-0.1	0.99993743598835	0.1	0.999991842764457
ENSG00000007080	CCDC124	-0.1	0.999973754074131	-0.3	0.999516510215591	-0.1	0.999975865166861	0.3	0.996465604932035												
ENSG00000007168	PAFAH1B1			0.1	0.999516510215591			-0.1	0.996465604932035							-0.1	0.999993864973088			-0.1	0.999991842764457
ENSG00000007202	KIAA0100					0.1	0.999975865166861	-0.1	0.996465604932035	-0.1	0.999988430414761					0.2	0.999993864973088	-0.2	0.99993743598835	-0.1	0.999991842764457
ENSG00000007255	TRAPPC6A			0.1	0.999516510215591			0.2	0.996465604932035	-0.1	0.999988430414761							0.1	0.99993743598835	0.1	0.999991842764457
ENSG00000007341	ST7L			-0.1	0.999516510215591	-0.1	0.999975865166861	-0.1	0.996465604932035												
ENSG00000007376	RPUSD1	-0.1	0.999973754074131	-0.2	0.999516510215591	-0.1	0.999975865166861	0.2	0.996465604932035							0.1	0.999993864973088				
ENSG00000007384	RHBDF1			-0.2	0.999516510215591			0.2	0.996465604932035	-0.1	0.999988430414761			-0.1	0.999999971785988	0.1	0.999993864973088			0.1	0.999991842764457
ENSG00000007392	LUC7L	-0.2	0.999973754074131	-0.2	0.999516510215591			0.2	0.996465604932035	-0.1	0.999988430414761										
ENSG00000007520	TSR3	-0.1	0.999973754074131	-0.1	0.999516510215591	-0.1	0.999975865166861	0.2	0.996465604932035	-0.2	0.999988430414761			0.1	0.999999971785988	0.1	0.999993864973088			0.1	0.999991842764457
ENSG00000007541	PIGQ	-0.2	0.999973754074131	-0.3	0.999516510215591	-0.1	0.999975865166861	0.4	0.996465604932035	-0.1	0.999988430414761					0.1	0.999993864973088			0.1	0.999991842764457
ENSG00000007545	CRAMP1	0.1	0.999973754074131	-0.3	0.999516510215591	-0.1	0.999975865166861	0.1	0.996465604932035					-0.1	0.999999971785988	0.1	0.999993864973088			0.1	0.999991842764457
ENSG00000007866	TEAD3			-0.2	0.999516510215591	-0.1	0.999975865166861	0.1	0.996465604932035	-0.1	0.999988430414761			-0.2	0.999999971785988			-0.1	0.99993743598835		
ENSG00000007923	DNAJC11					0.1	0.999975865166861					-0.1	0.999963861920391			0.1	0.999993864973088	-0.1	0.99993743598835		
ENSG00000007944	MYLIP			-0.1	0.999516510215591	0.1	0.999975865166861	-0.1	0.996465604932035	0.1	0.999988430414761					0.1	0.999993864973088	-0.1	0.99993743598835	0.2	0.999991842764457
ENSG00000007952	NOX1			0.1	0.999516510215591			0.1	0.996465604932035					0.1	0.999999971785988			0.1	0.99993743598835		
ENSG00000007968	E2F2							0.1	0.996465604932035					-0.1	0.999999971785988			-0.1	0.99993743598835	-0.1	0.999991842764457
ENSG00000008018	PSMB1									-0.1	0.999988430414761	-0.1	0.999963861920391			0.1	0.999993864973088				
ENSG00000008056	SYN1			0.1	0.999516510215591																
ENSG00000008083	JARID2			0.1	0.999516510215591	0.1	0.999975865166861	0.2	0.996465604932035			-0.1	0.999963861920391	0.3	0.999999971785988	0.5	0.708337242431602	0.2	0.99993743598835	0.2	0.999991842764457
ENSG00000008086	CDKL5							-0.1	0.996465604932035	0.2	0.999988430414761			-0.1	0.999999971785988						
ENSG00000008128	CDK11A			-0.1	0.999516510215591	-0.1	0.999975865166861	-0.1	0.996465604932035	-0.1	0.999988430414761			0.1	0.999999971785988						
ENSG00000008130	NADK	-0.1	0.999973754074131	-0.3	0.999516510215591	-0.2	0.999975865166861	0.2	0.996465604932035	-0.2	0.999988430414761	-0.1	0.999963861920391			0.1	0.999993864973088			0.1	0.999991842764457
ENSG00000008256	CYTH3	-0.1	0.999973754074131	-0.2	0.999516510215591	-0.2	0.999975865166861			-0.1	0.999988430414761			-0.2	0.999999971785988	-0.2	0.999993864973088	-0.2	0.99993743598835	-0.1	0.999991842764457
ENSG00000008277	ADAM22							0.1	0.996465604932035			-0.1	0.999963861920391	-0.2	0.999999971785988	-0.1	0.999993864973088	0.1	0.99993743598835		
ENSG00000008282	SYPL1			0.1	0.999516510215591	0.1	0.999975865166861	-0.1	0.996465604932035	-0.1	0.999988430414761					-0.1	0.999993864973088			-0.1	0.999991842764457
ENSG00000008283	CYB561	-0.2	0.999973754074131	-0.1	0.999516510215591	0.1	0.999975865166861	0.1	0.996465604932035			-0.1	0.999963861920391	0.1	0.999999971785988	0.2	0.999993864973088			0.1	0.999991842764457
