"Source Name"	"Characteristics[Subject ID]"	"Characteristics[Strain]"	"Characteristics[Organism]"	"Term Source REF"	"Term Accession Number"	"Characteristics[Sex]"	"Factor Value[Age]"	"Characteristics[AgeUnit]"	"Term Source REF"	"Term Accession Number"	"Characteristics[Organ]"	"Term Source REF"	"Term Accession Number"	"Characteristics[Tissue]"	"Term Source REF"	"Term Accession Number"	"Characteristics[Cell]"	"Term Source REF"	"Term Accession Number"	"Characteristics[Assay Type]"	"Characteristics[Biological Replicate]"	"Characteristics[Technical Replicate]"	"Factor Value[Compound]"	"Term Source REF"	"Term Accession Number"	"Characteristics[StdInChIKey]"	"Comment [ChEMBL ID]"	"Characteristics[Eniantiomer]"	"Characteristics[Compound Class]"	"Characteristics[Control]"	"Characteristics[Sample Match]"	"Factor Value[Dose]"	"Characteristics[DoseUnit]"	"Term Source REF"	"Term Accession Number"	"Factor Value[Dose Duration]"	"Characteristics[Dose DurationUnit]"	"Term Source REF"	"Term Accession Number"	"Factor Value[Dose Frequency]"	"Characteristics[Vehicle]"	"Characteristics[Route]"	"Term Source REF"	"Term Accession Number"	"Factor Value[Sample TimePoint]"	"Characteristics[Sample TimePointUnit]"	"Term Source REF"	"Term Accession Number"	"Characteristics[Treatment Group]"	"Protocol REF"	"Sample Name"
"LUM-1-BR200.CdCl 12.5-24h-R-1-1"	""	"BR200"	"Homo sapiens"	"NCBITaxon"	"obo:NCBITaxon_9606"	""	""	""	""	""	""	""	""	""	""	""	"lung"	"BTO"	"763"	"in vitro"	"1"	"1"	"cadmium dichloride"	"CHEBI"	"CHEBI:35456"	"YKYOUMDCQGMQQO-UHFFFAOYSA-L"	"CHEMBL1458880"	""	"Non-genotoxic"	"FALSE"	"LUM-1-BR200.Water-24h-R-1-1"	"12.5"	"micromolar"	"UO"	"UO:0000064"	"24"	"hour"	"UO"	"UO:0000032"	""	"Water"	""	""	""	""	""	""	""	""	"sample collection"	"LUM-1-BR200.CdCl 12.5-24h-R-1-1"
"LUM-1-BR200.CdCl 12.5-72h-R-1-1"	""	"BR200"	"Homo sapiens"	"NCBITaxon"	"obo:NCBITaxon_9606"	""	""	""	""	""	""	""	""	""	""	""	"lung"	"BTO"	"763"	"in vitro"	"1"	"1"	"cadmium dichloride"	"CHEBI"	"CHEBI:35456"	"YKYOUMDCQGMQQO-UHFFFAOYSA-L"	"CHEMBL1458880"	""	"Non-genotoxic"	"FALSE"	"LUM-1-BR200.Water-72h-R-1-1"	"12.5"	"micromolar"	"UO"	"UO:0000064"	"72"	"hour"	"UO"	"UO:0000032"	""	"Water"	""	""	""	""	""	""	""	""	"sample collection"	"LUM-1-BR200.CdCl 12.5-72h-R-1-1"
"LUM-1-BR200.CdCl 6.25-24h-R-1-1"	""	"BR200"	"Homo sapiens"	"NCBITaxon"	"obo:NCBITaxon_9606"	""	""	""	""	""	""	""	""	""	""	""	"lung"	"BTO"	"763"	"in vitro"	"1"	"1"	"cadmium dichloride"	"CHEBI"	"CHEBI:35456"	"YKYOUMDCQGMQQO-UHFFFAOYSA-L"	"CHEMBL1458880"	""	"Non-genotoxic"	"FALSE"	"LUM-1-BR200.Water-24h-R-1-1"	"6.25"	"micromolar"	"UO"	"UO:0000064"	"24"	"hour"	"UO"	"UO:0000032"	""	"Water"	""	""	""	""	""	""	""	""	"sample collection"	"LUM-1-BR200.CdCl 6.25-24h-R-1-1"
"LUM-1-BR200.CdCl 6.25-72h-R-1-1"	""	"BR200"	"Homo sapiens"	"NCBITaxon"	"obo:NCBITaxon_9606"	""	""	""	""	""	""	""	""	""	""	""	"lung"	"BTO"	"763"	"in vitro"	"1"	"1"	"cadmium dichloride"	"CHEBI"	"CHEBI:35456"	"YKYOUMDCQGMQQO-UHFFFAOYSA-L"	"CHEMBL1458880"	""	"Non-genotoxic"	"FALSE"	"LUM-1-BR200.Water-72h-R-1-1"	"6.25"	"micromolar"	"UO"	"UO:0000064"	"72"	"hour"	"UO"	"UO:0000032"	""	"Water"	""	""	""	""	""	""	""	""	"sample collection"	"LUM-1-BR200.CdCl 6.25-72h-R-1-1"
"LUM-1-BR200.DMSO-24h-R-1-1"	""	"BR200"	"Homo sapiens"	"NCBITaxon"	"obo:NCBITaxon_9606"	""	""	""	""	""	""	""	""	""	""	""	"lung"	"BTO"	"763"	"in vitro"	"1"	"1"	"dimethyl sulfoxide"	"CHEBI"	"CHEBI:28262"	"IAZDPXIOMUYVGZ-UHFFFAOYSA-N"	"CHEMBL504"	""	"DMSO"	"TRUE"	""	"0.0050"	"percent"	"UO"	"UO:0000187"	"24"	"hour"	"UO"	"UO:0000032"	""	"DMSO"	""	""	""	""	""	""	""	""	"sample collection"	"LUM-1-BR200.DMSO-24h-R-1-1"
"LUM-1-BR200.DMSO-72h-R-1-1"	""	"BR200"	"Homo sapiens"	"NCBITaxon"	"obo:NCBITaxon_9606"	""	""	""	""	""	""	""	""	""	""	""	"lung"	"BTO"	"763"	"in vitro"	"1"	"1"	"dimethyl sulfoxide"	"CHEBI"	"CHEBI:28262"	"IAZDPXIOMUYVGZ-UHFFFAOYSA-N"	"CHEMBL504"	""	"DMSO"	"TRUE"	""	"0.0050"	"percent"	"UO"	"UO:0000187"	"72"	"hour"	"UO"	"UO:0000032"	""	"DMSO"	""	""	""	""	""	""	""	""	"sample collection"	"LUM-1-BR200.DMSO-72h-R-1-1"
"LUM-1-BR200.Ipra 1250-24h-R-1-1"	""	"BR200"	"Homo sapiens"	"NCBITaxon"	"obo:NCBITaxon_9606"	""	""	""	""	""	""	""	""	""	""	""	"lung"	"BTO"	"763"	"in vitro"	"1"	"1"	"ipratropium bromide hydrate"	"CHEBI"	"CHEBI:5957"	"KEWHKYJURDBRMN-ZEODDXGYSA-M"	""	""	"Non-carcinogen"	"FALSE"	"LUM-1-BR200.Water-24h-R-1-1"	"1250"	"micromolar"	"UO"	"UO:0000064"	"24"	"hour"	"UO"	"UO:0000032"	""	"Water"	""	""	""	""	""	""	""	""	"sample collection"	"LUM-1-BR200.Ipra 1250-24h-R-1-1"
"LUM-1-BR200.Ipra 1250-72h-R-1-1"	""	"BR200"	"Homo sapiens"	"NCBITaxon"	"obo:NCBITaxon_9606"	""	""	""	""	""	""	""	""	""	""	""	"lung"	"BTO"	"763"	"in vitro"	"1"	"1"	"ipratropium bromide hydrate"	"CHEBI"	"CHEBI:5957"	"KEWHKYJURDBRMN-ZEODDXGYSA-M"	""	""	"Non-carcinogen"	"FALSE"	"LUM-1-BR200.Water-72h-R-1-1"	"1250"	"micromolar"	"UO"	"UO:0000064"	"72"	"hour"	"UO"	"UO:0000032"	""	"Water"	""	""	""	""	""	""	""	""	"sample collection"	"LUM-1-BR200.Ipra 1250-72h-R-1-1"
"LUM-1-BR200.Ipra 625-24h-R-1-1"	""	"BR200"	"Homo sapiens"	"NCBITaxon"	"obo:NCBITaxon_9606"	""	""	""	""	""	""	""	""	""	""	""	"lung"	"BTO"	"763"	"in vitro"	"1"	"1"	"ipratropium bromide hydrate"	"CHEBI"	"CHEBI:5957"	"KEWHKYJURDBRMN-ZEODDXGYSA-M"	""	""	"Non-carcinogen"	"FALSE"	"LUM-1-BR200.Water-24h-R-1-1"	"625"	"micromolar"	"UO"	"UO:0000064"	"24"	"hour"	"UO"	"UO:0000032"	""	"Water"	""	""	""	""	""	""	""	""	"sample collection"	"LUM-1-BR200.Ipra 625-24h-R-1-1"
"LUM-1-BR200.Ipra 625-72h-R-1-1"	""	"BR200"	"Homo sapiens"	"NCBITaxon"	"obo:NCBITaxon_9606"	""	""	""	""	""	""	""	""	""	""	""	"lung"	"BTO"	"763"	"in vitro"	"1"	"1"	"ipratropium bromide hydrate"	"CHEBI"	"CHEBI:5957"	"KEWHKYJURDBRMN-ZEODDXGYSA-M"	""	""	"Non-carcinogen"	"FALSE"	"LUM-1-BR200.Water-72h-R-1-1"	"625"	"micromolar"	"UO"	"UO:0000064"	"72"	"hour"	"UO"	"UO:0000032"	""	"Water"	""	""	""	""	""	""	""	""	"sample collection"	"LUM-1-BR200.Ipra 625-72h-R-1-1"
"LUM-1-BR200.NaAr 3.75-24h-R-1-1"	""	"BR200"	"Homo sapiens"	"NCBITaxon"	"obo:NCBITaxon_9606"	""	""	""	""	""	""	""	""	""	""	""	"lung"	"BTO"	"763"	"in vitro"	"1"	"1"	"sodium metaarsenite"	"CHEBI"	"CHEBI:29678"	"BMHFAZFKCQGNFO-UHFFFAOYSA-N"	""	""	"Non-genotoxic"	"FALSE"	"LUM-1-BR200.Water-24h-R-1-1"	"3.75"	"micromolar"	"UO"	"UO:0000064"	"24"	"hour"	"UO"	"UO:0000032"	""	"Water"	""	""	""	""	""	""	""	""	"sample collection"	"LUM-1-BR200.NaAr 3.75-24h-R-1-1"
"LUM-1-BR200.NaAr 3.75-72h-R-1-1"	""	"BR200"	"Homo sapiens"	"NCBITaxon"	"obo:NCBITaxon_9606"	""	""	""	""	""	""	""	""	""	""	""	"lung"	"BTO"	"763"	"in vitro"	"1"	"1"	"sodium metaarsenite"	"CHEBI"	"CHEBI:29678"	"BMHFAZFKCQGNFO-UHFFFAOYSA-N"	""	""	"Non-genotoxic"	"FALSE"	"LUM-1-BR200.Water-72h-R-1-1"	"3.75"	"micromolar"	"UO"	"UO:0000064"	"72"	"hour"	"UO"	"UO:0000032"	""	"Water"	""	""	""	""	""	""	""	""	"sample collection"	"LUM-1-BR200.NaAr 3.75-72h-R-1-1"
"LUM-1-BR200.NaAr 7.5-24h-R-1-1"	""	"BR200"	"Homo sapiens"	"NCBITaxon"	"obo:NCBITaxon_9606"	""	""	""	""	""	""	""	""	""	""	""	"lung"	"BTO"	"763"	"in vitro"	"1"	"1"	"sodium metaarsenite"	"CHEBI"	"CHEBI:29678"	"BMHFAZFKCQGNFO-UHFFFAOYSA-N"	""	""	"Non-genotoxic"	"FALSE"	"LUM-1-BR200.Water-24h-R-1-1"	"7.5"	"micromolar"	"UO"	"UO:0000064"	"24"	"hour"	"UO"	"UO:0000032"	""	"Water"	""	""	""	""	""	""	""	""	"sample collection"	"LUM-1-BR200.NaAr 7.5-24h-R-1-1"
"LUM-1-BR200.NaAr 7.5-72h-R-1-1"	""	"BR200"	"Homo sapiens"	"NCBITaxon"	"obo:NCBITaxon_9606"	""	""	""	""	""	""	""	""	""	""	""	"lung"	"BTO"	"763"	"in vitro"	"1"	"1"	"sodium metaarsenite"	"CHEBI"	"CHEBI:29678"	"BMHFAZFKCQGNFO-UHFFFAOYSA-N"	""	""	"Non-genotoxic"	"FALSE"	"LUM-1-BR200.Water-72h-R-1-1"	"7.5"	"micromolar"	"UO"	"UO:0000064"	"72"	"hour"	"UO"	"UO:0000032"	""	"Water"	""	""	""	""	""	""	""	""	"sample collection"	"LUM-1-BR200.NaAr 7.5-72h-R-1-1"
"LUM-1-BR200.NaChrom 2.5-24h-R-1-1"	""	"BR200"	"Homo sapiens"	"NCBITaxon"	"obo:NCBITaxon_9606"	""	""	""	""	""	""	""	""	""	""	""	"lung"	"BTO"	"763"	"in vitro"	"1"	"1"	"sodium dichromate"	"CHEBI"	"CHEBI:39483"	"KIEOKOFEPABQKJ-UHFFFAOYSA-N"	""	""	"Genotoxic"	"FALSE"	"LUM-1-BR200.Water-24h-R-1-1"	"2.5"	"micromolar"	"UO"	"UO:0000064"	"24"	"hour"	"UO"	"UO:0000032"	""	"Water"	""	""	""	""	""	""	""	""	"sample collection"	"LUM-1-BR200.NaChrom 2.5-24h-R-1-1"
"LUM-1-BR200.NaChrom 2.5-72h-R-1-1"	""	"BR200"	"Homo sapiens"	"NCBITaxon"	"obo:NCBITaxon_9606"	""	""	""	""	""	""	""	""	""	""	""	"lung"	"BTO"	"763"	"in vitro"	"1"	"1"	"sodium dichromate"	"CHEBI"	"CHEBI:39483"	"KIEOKOFEPABQKJ-UHFFFAOYSA-N"	""	""	"Genotoxic"	"FALSE"	"LUM-1-BR200.Water-72h-R-1-1"	"2.5"	"micromolar"	"UO"	"UO:0000064"	"72"	"hour"	"UO"	"UO:0000032"	""	"Water"	""	""	""	""	""	""	""	""	"sample collection"	"LUM-1-BR200.NaChrom 2.5-72h-R-1-1"
"LUM-1-BR200.NaChrom 5-24h-R-1-1"	""	"BR200"	"Homo sapiens"	"NCBITaxon"	"obo:NCBITaxon_9606"	""	""	""	""	""	""	""	""	""	""	""	"lung"	"BTO"	"763"	"in vitro"	"1"	"1"	"sodium dichromate"	"CHEBI"	"CHEBI:39483"	"KIEOKOFEPABQKJ-UHFFFAOYSA-N"	""	""	"Genotoxic"	"FALSE"	"LUM-1-BR200.Water-24h-R-1-1"	"5"	"micromolar"	"UO"	"UO:0000064"	"24"	"hour"	"UO"	"UO:0000032"	""	"Water"	""	""	""	""	""	""	""	""	"sample collection"	"LUM-1-BR200.NaChrom 5-24h-R-1-1"
"LUM-1-BR200.NaChrom 5-72h-R-1-1"	""	"BR200"	"Homo sapiens"	"NCBITaxon"	"obo:NCBITaxon_9606"	""	""	""	""	""	""	""	""	""	""	""	"lung"	"BTO"	"763"	"in vitro"	"1"	"1"	"sodium dichromate"	"CHEBI"	"CHEBI:39483"	"KIEOKOFEPABQKJ-UHFFFAOYSA-N"	""	""	"Genotoxic"	"FALSE"	"LUM-1-BR200.Water-72h-R-1-1"	"5"	"micromolar"	"UO"	"UO:0000064"	"72"	"hour"	"UO"	"UO:0000032"	""	"Water"	""	""	""	""	""	""	""	""	"sample collection"	"LUM-1-BR200.NaChrom 5-72h-R-1-1"
"LUM-1-BR200.Water-24h-R-1-1"	""	"BR200"	"Homo sapiens"	"NCBITaxon"	"obo:NCBITaxon_9606"	""	""	""	""	""	""	""	""	""	""	""	"lung"	"BTO"	"763"	"in vitro"	"1"	"1"	"untreated"	""	""	""	""	""	"CTRL"	"TRUE"	""	""	""	""	""	"24"	"hour"	"UO"	"UO:0000032"	""	"None"	""	""	""	""	""	""	""	""	"sample collection"	"LUM-1-BR200.Water-24h-R-1-1"
"LUM-1-BR200.Water-72h-R-1-1"	""	"BR200"	"Homo sapiens"	"NCBITaxon"	"obo:NCBITaxon_9606"	""	""	""	""	""	""	""	""	""	""	""	"lung"	"BTO"	"763"	"in vitro"	"1"	"1"	"untreated"	""	""	""	""	""	"CTRL"	"TRUE"	""	""	""	""	""	"72"	"hour"	"UO"	"UO:0000032"	""	"None"	""	""	""	""	""	""	""	""	"sample collection"	"LUM-1-BR200.Water-72h-R-1-1"
"LUM-1-BR234-0h-R-1-1"	""	"BR234"	"Homo sapiens"	"NCBITaxon"	"obo:NCBITaxon_9606"	""	""	""	""	""	""	""	""	""	""	""	"lung"	"BTO"	"763"	"in vitro"	"1"	"1"	"untreated"	""	""	""	""	""	"CTRL"	"TRUE"	""	""	""	""	""	"0"	"hour"	"UO"	"UO:0000032"	""	"None"	""	""	""	""	""	""	""	""	"sample collection"	"LUM-1-BR234-0h-R-1-1"
"LUM-1-BR234-0h-R-2-1"	""	"BR234"	"Homo sapiens"	"NCBITaxon"	"obo:NCBITaxon_9606"	""	""	""	""	""	""	""	""	""	""	""	"lung"	"BTO"	"763"	"in vitro"	"2"	"1"	"untreated"	""	""	""	""	""	"CTRL"	"TRUE"	""	""	""	""	""	"0"	"hour"	"UO"	"UO:0000032"	""	"None"	""	""	""	""	""	""	""	""	"sample collection"	"LUM-1-BR234-0h-R-2-1"
"LUM-1-BR234.BaP 10-24h-R-1-1"	""	"BR234"	"Homo sapiens"	"NCBITaxon"	"obo:NCBITaxon_9606"	""	""	""	""	""	""	""	""	""	""	""	"lung"	"BTO"	"763"	"in vitro"	"1"	"1"	"benzo[a]pyrene"	"CHEBI"	"CHEBI:29865"	"FMMWHPNWAFZXNH-UHFFFAOYSA-N"	"CHEMBL31184"	""	"Genotoxic"	"FALSE"	"LUM-1-BR234.DMSO-24h-R-1-1"	"10"	"micromolar"	"UO"	"UO:0000064"	"24"	"hour"	"UO"	"UO:0000032"	""	"DMSO"	""	""	""	""	""	""	""	""	"sample collection"	"LUM-1-BR234.BaP 10-24h-R-1-1"
"LUM-1-BR234.BaP 10-72h-R-1-1"	""	"BR234"	"Homo sapiens"	"NCBITaxon"	"obo:NCBITaxon_9606"	""	""	""	""	""	""	""	""	""	""	""	"lung"	"BTO"	"763"	"in vitro"	"1"	"1"	"benzo[a]pyrene"	"CHEBI"	"CHEBI:29865"	"FMMWHPNWAFZXNH-UHFFFAOYSA-N"	"CHEMBL31184"	""	"Genotoxic"	"FALSE"	"LUM-1-BR234.DMSO-72h-R-1-1"	"10"	"micromolar"	"UO"	"UO:0000064"	"72"	"hour"	"UO"	"UO:0000032"	""	"DMSO"	""	""	""	""	""	""	""	""	"sample collection"	"LUM-1-BR234.BaP 10-72h-R-1-1"
"LUM-1-BR234.BaP 20-24h-R-1-1"	""	"BR234"	"Homo sapiens"	"NCBITaxon"	"obo:NCBITaxon_9606"	""	""	""	""	""	""	""	""	""	""	""	"lung"	"BTO"	"763"	"in vitro"	"1"	"1"	"benzo[a]pyrene"	"CHEBI"	"CHEBI:29865"	"FMMWHPNWAFZXNH-UHFFFAOYSA-N"	"CHEMBL31184"	""	"Genotoxic"	"FALSE"	"LUM-1-BR234.DMSO-24h-R-1-1"	"20"	"micromolar"	"UO"	"UO:0000064"	"24"	"hour"	"UO"	"UO:0000032"	""	"DMSO"	""	""	""	""	""	""	""	""	"sample collection"	"LUM-1-BR234.BaP 20-24h-R-1-1"
"LUM-1-BR234.BaP 20-72h-R-1-1"	""	"BR234"	"Homo sapiens"	"NCBITaxon"	"obo:NCBITaxon_9606"	""	""	""	""	""	""	""	""	""	""	""	"lung"	"BTO"	"763"	"in vitro"	"1"	"1"	"benzo[a]pyrene"	"CHEBI"	"CHEBI:29865"	"FMMWHPNWAFZXNH-UHFFFAOYSA-N"	"CHEMBL31184"	""	"Genotoxic"	"FALSE"	"LUM-1-BR234.DMSO-72h-R-1-1"	"20"	"micromolar"	"UO"	"UO:0000064"	"72"	"hour"	"UO"	"UO:0000032"	""	"DMSO"	""	""	""	""	""	""	""	""	"sample collection"	"LUM-1-BR234.BaP 20-72h-R-1-1"
"LUM-1-BR234.Beclo 100-24h-R-1-1"	""	"BR234"	"Homo sapiens"	"NCBITaxon"	"obo:NCBITaxon_9606"	""	""	""	""	""	""	""	""	""	""	""	"lung"	"BTO"	"763"	"in vitro"	"1"	"1"	"beclomethasone dipropionate"	"CHEBI"	"CHEBI:3002"	"KUVIULQEHSCUHY-XYWKZLDCSA-N"	"CHEMBL1200500"	""	"Non-carcinogen"	"FALSE"	"LUM-1-BR234.DMSO-24h-R-1-1"	"100"	"micromolar"	"UO"	"UO:0000064"	"24"	"hour"	"UO"	"UO:0000032"	""	"DMSO"	""	""	""	""	""	""	""	""	"sample collection"	"LUM-1-BR234.Beclo 100-24h-R-1-1"
"LUM-1-BR234.Beclo 100-72h-R-1-1"	""	"BR234"	"Homo sapiens"	"NCBITaxon"	"obo:NCBITaxon_9606"	""	""	""	""	""	""	""	""	""	""	""	"lung"	"BTO"	"763"	"in vitro"	"1"	"1"	"beclomethasone dipropionate"	"CHEBI"	"CHEBI:3002"	"KUVIULQEHSCUHY-XYWKZLDCSA-N"	"CHEMBL1200500"	""	"Non-carcinogen"	"FALSE"	"LUM-1-BR234.DMSO-72h-R-1-1"	"100"	"micromolar"	"UO"	"UO:0000064"	"72"	"hour"	"UO"	"UO:0000032"	""	"DMSO"	""	""	""	""	""	""	""	""	"sample collection"	"LUM-1-BR234.Beclo 100-72h-R-1-1"
